location,cleanliness,staff,comfort,value for money,facilities
location,cleanliness,staff,comfort,price,facilities
mrt,clean,friendly,comfortable,value,swimming
station,neat,helpful,quiet,money,swim
close,dusty,service,bed,pricey,pool
near,dirty,hospitality,sleep,amount,gym
terminal,smell,accommodative,noise,rate,mordern
city,purity,polite,comfy,cheap,new
central,sanitation,reliable,noisy,worth,dated
convenient,tidy,quick,cosy,reasonable,outdated
convenience,neatness,desk,,economical,old
within,tidiness,check-in,,fee,bar
walk,dirt,check-out,,expensive,small
airport,dust,phone,,inexpensive,spacious
city,,housekeep,,cost,big
shop,,attitude,,costly,accessibility
mall,,response,,worthless,cramp
far,,warm,,worthlessness,cramped
inconvenient,,warmth,,,adjoin
inconvenience,,smile,,,spa
nearby,,enthusiasm,,,wifi
river,,patient,,,gymnasium
area,,patience,,,internet
railway,,,,,parking
distance,,,,,wireless
train,,,,,broken
view,,,,,bathroom
metro,,,,,toilet
bus,,,,,fridge
taxi,,,,,amenity
car,,,,,space
place,,,,,casino
situated ,,,,,
travel,,,,,
