,hotel_id,hotel_name,hotel_stars,address,cat_location,cat_cleaniness,cat_staff,cat_comfort,cat_value_for_money,cat_facilities,room_types,image_links,roomtypes_clean,25percentile,50percentile,75percentile
0,village-at-sentosa,Village Hotel Sentosa by Far East Hospitality,4,"10 Artillery Avenue #02-01, Sentosa Island, 099951 Singapore, Singapore",8.6,8.8,8.7,8.7,8.9,7.8,"{'Deluxe Room': ['S$\xa0340', 'S$\xa0360', 'S$\xa0400'], 'Deluxe Room Pool View': ['S$\xa0360', 'S$\xa0381', 'S$\xa0424'], 'Deluxe Room with Sea View': ['S$\xa0380', 'S$\xa0403', 'S$\xa0447'], 'Family Room Pool View': ['S$\xa0630'], 'Deluxe Family Room Pool View': ['S$\xa0689']}","['https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/165003870.jpg?k=4024c18a0261f8623b9ffa9d3edbb589c56cef30a121e3ddfa0bd2f537da3a9a&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/220991240.jpg?k=5a7c26a5ea12aafd52960d6c56a9e28ec0061e1aaa3c420f0ea6a583a9630223&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/221552055.jpg?k=9ee5fed5e6b61a15914f91dcba78055c34082e3bf1052d1b0dcd9f020be071cc&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/251821266.jpg?k=4ca31ced5ac7da61c573bd83951bf5240532786b41ffbfc4ada0b86694ca1f77&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/220991273.jpg?k=5a625020a4d9e134030e91c0abc4eef8ceb34ab26e2e16f7d7546048b62dacd1&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/229252778.jpg?k=674d2b0b9bec7068995f40450d497bf3d636d9398f36b19b86f9d8d0b1027b51&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/184004739.jpg?k=542457afa42d92e301d7913d34eed5991bbbab2caf45e8b3c2bc9e169b8b5544&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/391530315.jpg?k=8c0d95c19a01c3e5b6f16abf033a1f5abae6194ed301da40975db7df1d6631cd&o=&hp=1']","{'Deluxe Room': ['340', '360', '400'], 'Deluxe Room Pool View': ['360', '381', '424'], 'Deluxe Room with Sea View': ['380', '403', '447'], 'Family Room Pool View': ['630'], 'Deluxe Family Room Pool View': ['689']}",370.0,400.0,435.5
1,the-outpost,The Outpost Hotel Sentosa by Far East Hospitality,5,"10 Artillery Avenue #03-01, Sentosa Island, Sentosa Island, 099951 Singapore, Singapore",8.6,9.2,9.2,9.2,8.1,8.9,"{'Deluxe Room': ['S$\xa0410', 'S$\xa0434', 'S$\xa0483'], 'Deluxe Room Pool View': ['S$\xa0430', 'S$\xa0455', 'S$\xa0506'], 'Deluxe Room Sea View': ['S$\xa0450', 'S$\xa0477', 'S$\xa0530']}","['https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/215016159.jpg?k=a9887d02afe1f12634c0a8bef4060ca8d10d4c242117aa8d50a35216d0ebb717&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/215016163.jpg?k=eba12b98984d15519b79044ea003a8f0802f54c250fa77a1d234515b284ff585&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/168331531.jpg?k=b83de52033af71b63dd8055189ffc372e2f5675ad15866313ef52b67745c5fa0&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/220983693.jpg?k=dede0144bbdb5c0f3116a51a74cd1cd8e1b810d4723fa921a3690df803781552&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/215016144.jpg?k=84ea94448593cd591447e3c138e4ec4e1f71b803846a78a0b788e21b47b20ece&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/251821278.jpg?k=1429c15ae70dd5e3943944d141b51c2353c7a44cb8b303f2741f70a93640710c&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/220983694.jpg?k=8a00a0613bf2b9329e515d253c0d9b7fbb381ba4310bd0068ea74a5c21e09342&o=&hp=1']","{'Deluxe Room': ['410', '434', '483'], 'Deluxe Room Pool View': ['430', '455', '506'], 'Deluxe Room Sea View': ['450', '477', '530']}",434.0,455.0,483.0
2,carlton,Carlton Hotel Singapore,5,"76 Bras Basah Road, City Hall, 189558 Singapore, Singapore",8.5,8.8,9.0,9.1,9.4,8.3,"{'Deluxe Double or Twin Room with free Wifi': ['S$\xa0266', 'S$\xa0302', 'S$\xa0338', 'S$\xa0380', 'S$\xa0422', 'S$\xa0463'], 'Executive Double Room with free WIFI': ['S$\xa0291', 'S$\xa0327', 'S$\xa0363', 'S$\xa0416', 'S$\xa0457', 'S$\xa0499'], 'Premier Double Room with Free Wifi ': ['S$\xa0308', 'S$\xa0343', 'S$\xa0379', 'S$\xa0440', 'S$\xa0481', 'S$\xa0523']}","['https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/267845371.jpg?k=1783ef7ae9bb128d5dff9eb5b0be32cfb6561fa59945ca36ae7e1a2dcb9d8634&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/44438384.jpg?k=3b985dd133b7353751ce111648bea2c8676a95b1d563e2ac776674395d25ffcc&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/194654918.jpg?k=b33bc2eeb0ab7c36d99c6d80abd9e21595f42616db604fd8a40fb2232223242a&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/44438381.jpg?k=8930a5976cf43be9f7050656a2cd033a01244b23c4c461794fba9f6865af5584&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/130037068.jpg?k=ce905423e24df0e55f5e5854ffb34dda1f6536450dd205392a8be0f739187f53&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/16838123.jpg?k=cebea59532cc0037090496ebbbd2d52d491ccc5de3470d2ce7d1e3950fff3bb4&o=&hp=1']","{'Deluxe Double or Twin Room with free Wifi': ['266', '302', '338', '380', '422', '463'], 'Executive Double Room with free WIFI': ['291', '327', '363', '416', '457', '499'], 'Premier Double Room with Free Wifi ': ['308', '343', '379', '440', '481', '523']}",329.75,379.5,452.75
3,amoy-by-far-east-hospitality,AMOY by Far East Hospitality,4,"76 Telok Ayer Street, Chinatown, 048464 Singapore, Singapore",8.2,9.5,8.8,8.8,9.6,7.8,"{'Cosy Single Room': ['S$\xa0242', 'S$\xa0260', 'S$\xa0268'], 'Deluxe Room': ['S$\xa0318', 'S$\xa0343', 'S$\xa0353']}","['https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/209986152.jpg?k=615f0528fbd31472ad0a2dfa4318c4fdacddb70a08e6df657cd56b0ccb013fa9&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/209987121.jpg?k=7f031c66a9aa85d0fb141ed1f6713d3b875bddadacbcf4eb94da331cae00e6a1&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/33087071.jpg?k=2f17c841e370f91ff9c450b6d1223e4ac06b07496101c13b2fa9e7631729e5bb&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/252220720.jpg?k=d96192840af5fc95ad32cadeb7d44fefa9a96d9ed60a3ece744906d54225d6a8&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/210038810.jpg?k=d2859e8387bf791030dc53a3448c0288c635edf735f638b9a57067ff81b94064&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/33087088.jpg?k=06b76d4cef03a6599721102f684b4b43ff768784debd07e6ce5d0f694223ed24&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/209985997.jpg?k=69677e6edb9b1dbbcdafdf04bc4fd1866cf14b90cd0abf62b8d93b7bcab0fce5&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/308535449.jpg?k=604782a362e40ac1d9f8f05967472eacf64207d1a65af3e244386c84d29a7428&o=&hp=1']","{'Cosy Single Room': ['242', '260', '268'], 'Deluxe Room': ['318', '343', '353']}",262.0,293.0,336.75
4,panpacificsingapore,Pan Pacific Singapore,5,"7 Raffles Boulevard, Marina Square, Marina Bay, 039595 Singapore, Singapore",8.9,9.0,9.1,9.1,9.3,8.2,"{'Deluxe King or Twin Room': ['S$\xa0535', 'S$\xa0594', 'S$\xa0653'], 'Deluxe Double or Twin Room with Balcony': ['S$\xa0556', 'S$\xa0556', 'S$\xa0618', 'S$\xa0675', 'S$\xa0677', 'S$\xa0732', 'S$\xa0737', 'S$\xa0853'], 'Panoramic King or Twin Room': ['S$\xa0605', 'S$\xa0671', 'S$\xa0731'], 'Harbour Studio': ['S$\xa0658', 'S$\xa0658', 'S$\xa0731', 'S$\xa0777', 'S$\xa0790', 'S$\xa0834', 'S$\xa0849', 'S$\xa0966'], 'Pacific Club Room': ['S$\xa0840'], 'Pacific Club Harbour Room': ['S$\xa0893', 'S$\xa01,131'], 'Pacific Club Harbour Studio ': ['S$\xa0947'], 'Pacific Club Harbour Select Studio': ['S$\xa0979'], 'Connecting Deluxe Balcony': ['S$\xa01,112', 'S$\xa01,231', 'S$\xa01,350'], 'Connecting Panoramic Room': ['S$\xa01,208'], 'City Suite': ['S$\xa01,214', 'S$\xa01,452'], 'Skyline Suite': ['S$\xa01,246'], 'Connecting Harbour Studio Room': ['S$\xa01,315', 'S$\xa01,434', 'S$\xa01,553'], 'Urban Jungle Suite': ['S$\xa01,562']}","['https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/85960609.jpg?k=12f4e89050495cb84f81e37ac261d77e9db6e6f8499ce955a6048cb9a35c9bf1&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/207928228.jpg?k=fd61f53eafb50df20d9f2dd19edd76e7cb6de299cfd03a7885c5e8be8b53a09f&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/207928432.jpg?k=8967ac147781595f98d16070d2a41f303de76fbeba937d444832f8fba7abd655&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/39724012.jpg?k=b1f84b1d3c9e6f0e6aa986ee93f4d68f78c4799fc0555b63318d2c4c096e149d&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/136972532.jpg?k=5c34de2c43e0c8fa0f8219222014f74bc06ddd0b226119a987fb43ba9c162a30&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/309285942.jpg?k=728184283213be59944379af7d582251f642dd2e11e432bce4636ffea7bdb889&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/253563999.jpg?k=8e1a8d5fe1ed5e581dfbaffbacf6e92b3c602e09546f2e14b58d49535eb38854&o=&hp=1']","{'Deluxe King or Twin Room': ['535', '594', '653'], 'Deluxe Double or Twin Room with Balcony': ['556', '556', '618', '675', '677', '732', '737', '853'], 'Panoramic King or Twin Room': ['605', '671', '731'], 'Harbour Studio': ['658', '658', '731', '777', '790', '834', '849', '966'], 'Pacific Club Room': ['840'], 'Pacific Club Harbour Room': ['893', '1,131'], 'Pacific Club Harbour Studio ': ['947'], 'Pacific Club Harbour Select Studio': ['979'], 'Connecting Deluxe Balcony': ['1,112', '1,231', '1,350'], 'Connecting Panoramic Room': ['1,208'], 'City Suite': ['1,214', '1,452'], 'Skyline Suite': ['1,246'], 'Connecting Harbour Studio Room': ['1,315', '1,434', '1,553'], 'Urban Jungle Suite': ['1,562']}",672.0,837.0,1188.75
5,holiday-inn-express-singapore-clarke-quay,"Holiday Inn Express Singapore Clarke Quay, an IHG Hotel",4,"2 Magazine Road, Clarke Quay, 059573 Singapore, Singapore",8.8,8.9,9.0,8.7,8.5,8.1,"{'Standard Queen Room': ['S$\xa0265', 'S$\xa0279'], 'Queen Room - Disability Access': ['S$\xa0265', 'S$\xa0279'], 'Standard Room': ['S$\xa0265', 'S$\xa0279'], 'Queen Room with City View': ['S$\xa0277', 'S$\xa0291'], 'Standard Twin Room': ['S$\xa0288', 'S$\xa0303'], 'Standard Queen Room - Disability Accessible': ['S$\xa0288', 'S$\xa0303'], 'Standard Queen Room - Top Floor': ['S$\xa0288', 'S$\xa0303'], 'Queen Room with City View - Top Floor ': ['S$\xa0299', 'S$\xa0315'], 'Standard Twin Room - Top Floor': ['S$\xa0310', 'S$\xa0327']}","['https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/250456638.jpg?k=92036e2a26a854263e289b501918874f72a91174e5c914e36c2a1bb4879ac14b&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/250799635.jpg?k=7f2cc486795716c5b881d32a4da1cb34a0120b677f251f5d6a906ec1e46c4098&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/168985575.jpg?k=f2a6437bebd45b3a5a1586d3bbdc45354972518322f9a79641a02d452d0f44d1&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/336192921.jpg?k=873b59730159cb303aaa28353ea1b426ecc7562371e333ce5e945367c06265f8&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/250966381.jpg?k=2e24ae2eda44f913c3c4a0a46e51f68dc76513db94c406827405c6c845ac37f6&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/251025823.jpg?k=76d912c09464186dafe0feb97aff372285e2a079e0736aa5cf6c2697a8c2708a&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/168985566.jpg?k=4b2a9406ba05622f458300d0ebe4933ffe57da173436f295df597cb62f56f771&o=&hp=1']","{'Standard Queen Room': ['265', '279'], 'Queen Room - Disability Access': ['265', '279'], 'Standard Room': ['265', '279'], 'Queen Room with City View': ['277', '291'], 'Standard Twin Room': ['288', '303'], 'Standard Queen Room - Disability Accessible': ['288', '303'], 'Standard Queen Room - Top Floor': ['288', '303'], 'Queen Room with City View - Top Floor ': ['299', '315'], 'Standard Twin Room - Top Floor': ['310', '327']}",279.0,288.0,303.0
6,m-singapore,M Hotel Singapore City Centre,5,"81 Anson Road, 079908 Singapore, Singapore",8.3,8.5,8.3,8.7,7.7,8.1,"{'Deluxe Double Room With Free WiFi': ['S$\xa0275', 'S$\xa0293', 'S$\xa0294', 'S$\xa0312', 'S$\xa0330', 'S$\xa0339', 'S$\xa0347', 'S$\xa0383'], 'Deluxe Twin Room with Free Wifi': ['S$\xa0275', 'S$\xa0293', 'S$\xa0294', 'S$\xa0312', 'S$\xa0330', 'S$\xa0339', 'S$\xa0347', 'S$\xa0383'], 'Premier Double Room with Free Wifi ': ['S$\xa0306', 'S$\xa0324', 'S$\xa0330', 'S$\xa0347', 'S$\xa0365', 'S$\xa0370', 'S$\xa0383', 'S$\xa0418'], 'Club Premier Double With Free WiFi': ['S$\xa0410', 'S$\xa0427', 'S$\xa0465', 'S$\xa0483', 'S$\xa0489', 'S$\xa0553'], 'Club Room with Free Wi-Fi': ['S$\xa0410', 'S$\xa0427', 'S$\xa0465', 'S$\xa0483', 'S$\xa0489', 'S$\xa0553'], 'Club Premier Twin Room With Free WiFi': ['S$\xa0410', 'S$\xa0427', 'S$\xa0465', 'S$\xa0483', 'S$\xa0489', 'S$\xa0553'], 'Suite with Free Wi-Fi': ['S$\xa0772', 'S$\xa0790', 'S$\xa0852', 'S$\xa0877', 'S$\xa0895', 'S$\xa0965'], 'Family Suite': ['S$\xa0875', 'S$\xa0995', 'S$\xa0996', 'S$\xa01,058', 'S$\xa01,119', 'S$\xa01,130', 'S$\xa01,201', 'S$\xa01,271'], 'Suite with City View': ['S$\xa0875', 'S$\xa0995', 'S$\xa0996', 'S$\xa01,058', 'S$\xa01,130', 'S$\xa01,201']}","['https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/265476429.jpg?k=9c42912941daeb98d75547a7ca94cc69995e26de65fee43a2b88be7da986ae39&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/265359187.jpg?k=b073bce7d4ba604b1d3ed5dfa289cd2ba710621dfa069fadd16b5e40a94bb095&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/119137590.jpg?k=2a20ec091ec3d45a870df986bed78ba15858a5901e57e863c0b28d70d4c83b6c&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/265454871.jpg?k=9802c576f4cdc9c60b78259cef8cb0b8c78c563593dba9e16702bb28c0e0c418&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/124725512.jpg?k=dbf7cb3f473248b647941644d57fdb952a09d4d97c80885960b9b5b107dd8187&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/265462171.jpg?k=e086addbabf932bf7f0bce88cce69ba792bd39bc059faa3b8b0b6571770d50fe&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/78476862.jpg?k=46524f79a7ced79fa0f1f2d95c6a0bf926778221857203c048084579329c7957&o=&hp=1']","{'Deluxe Double Room With Free WiFi': ['275', '293', '294', '312', '330', '339', '347', '383'], 'Deluxe Twin Room with Free Wifi': ['275', '293', '294', '312', '330', '339', '347', '383'], 'Premier Double Room with Free Wifi ': ['306', '324', '330', '347', '365', '370', '383', '418'], 'Club Premier Double With Free WiFi': ['410', '427', '465', '483', '489', '553'], 'Club Room with Free Wi-Fi': ['410', '427', '465', '483', '489', '553'], 'Club Premier Twin Room With Free WiFi': ['410', '427', '465', '483', '489', '553'], 'Suite with Free Wi-Fi': ['772', '790', '852', '877', '895', '965'], 'Family Suite': ['875', '995', '996', '1,058', '1,119', '1,130', '1,201', '1,271'], 'Suite with City View': ['875', '995', '996', '1,058', '1,130', '1,201']}",347.0,465.0,875.0
7,copthorne-king-s,Copthorne King's Hotel Singapore on Havelock,4,"403 Havelock Road, Robertson Quay, 169632 Singapore, Singapore",7.7,8.2,8.1,8.1,8.0,7.4,"{'Deluxe Double Room with Balcony': ['S$\xa0288', 'S$\xa0306', 'S$\xa0318', 'S$\xa0335', 'S$\xa0351', 'S$\xa0353', 'S$\xa0371', 'S$\xa0406'], 'Deluxe Twin Room with Balcony': ['S$\xa0288', 'S$\xa0306', 'S$\xa0318', 'S$\xa0335', 'S$\xa0351', 'S$\xa0353', 'S$\xa0371', 'S$\xa0406'], 'Signature Queen Room': ['S$\xa0318', 'S$\xa0335', 'S$\xa0353', 'S$\xa0371', 'S$\xa0388'], 'Signature Twin Room': ['S$\xa0318', 'S$\xa0335', 'S$\xa0353', 'S$\xa0371', 'S$\xa0388'], 'Signature Studio Room': ['S$\xa0348', 'S$\xa0366', 'S$\xa0388', 'S$\xa0406', 'S$\xa0411', 'S$\xa0424', 'S$\xa0441', 'S$\xa0477'], 'Family Room with Balcony': ['S$\xa0378', 'S$\xa0395', 'S$\xa0424', 'S$\xa0440', 'S$\xa0441', 'S$\xa0459', 'S$\xa0477', 'S$\xa0512']}","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/233919368.jpg?k=dc457bee487236879b430dbba1a94a9d5541951b0bd9a9b0dbb2faca4c562338&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max500/233919372.jpg?k=6f91d95d2a7ca2d9aa8efb0be7b1e78d3f5c51cac74c732cfe33949473809270&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max500/233930056.jpg?k=726d761753692a42b606575aefe9cfaad81eabf280325771376912e131d4faca&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/147514431.jpg?k=5bfbc0c249500db2e37efd0624e5b8022ce0aac6056cd8403da697fc4d6507ad&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/233930070.jpg?k=66d242bd15c2db044233dba616fc927fac60bd9040a473c759988a2c845edd66&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/233930305.jpg?k=844d978aa258be193d0abfe715985bc4748f0d08b56b3accc4d8c3a1a96727c4&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/233930301.jpg?k=0d1f9f8655d2d6afc18615b0168cbe386a63c9f030e6af7aefe4a6525acfc2e2&o=&hp=1']","{'Deluxe Double Room with Balcony': ['288', '306', '318', '335', '351', '353', '371', '406'], 'Deluxe Twin Room with Balcony': ['288', '306', '318', '335', '351', '353', '371', '406'], 'Signature Queen Room': ['318', '335', '353', '371', '388'], 'Signature Twin Room': ['318', '335', '353', '371', '388'], 'Signature Studio Room': ['348', '366', '388', '406', '411', '424', '441', '477'], 'Family Room with Balcony': ['378', '395', '424', '440', '441', '459', '477', '512']}",335.0,371.0,406.0
8,the-elizabeth,Vibe Hotel Singapore Orchard,4,"24 Mount Elizabeth, Orchard, 228518 Singapore, Singapore",8.4,10.0,9.1,10.0,8.4,9.1,"{'Premier Double or Twin Room': ['S$\xa0330', 'S$\xa0358']}","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/364002480.jpg?k=73372105f6564417429ed77c3a9f968f92d6a9632da0b3e303b8743c8cfdb931&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max500/364002517.jpg?k=b377dda7857da50293200c0eabfa13a805797936c365a1d79b77f9bd1f2840b2&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max500/364002154.jpg?k=19dd8a215ec5a7cc29ff1f0b22260c7ccb803f58e1356758391cf281d3c12c6a&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/393215201.jpg?k=4ba399d5bf92c57dd58c60f14d5750218d25636b6cba094bea5985ab6e9368cf&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/393215255.jpg?k=8611f64ea6eca3a4daad2f7afced680dcb00cd7b282485732adb542e64a8f10f&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/393215199.jpg?k=0cfd71eb87f15a676b2be4cc5ac190cddd6b21b9f9498d089ee63173c978d8de&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/364002491.jpg?k=a6d99b57e97030d9367cb1757d9c5018ee5df9d7a851d1b50a76369fb138344b&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/364002518.jpg?k=ea723d1d8b6b9931f19388d5892aa6f4807fcd7f8799345da29925df79a1fc36&o=&hp=1']","{'Premier Double or Twin Room': ['330', '358']}",337.0,344.0,351.0
9,oasia-downtown-singapore,"Oasia Hotel Downtown, Singapore by Far East Hospitality",4,"100 Peck Seah Street, Chinatown, 079333 Singapore, Singapore",8.8,9.3,8.8,9.0,8.5,7.9,"{'Superior Double or Twin Room': ['S$\xa0285', 'S$\xa0319', 'S$\xa0335'], 'Club Room': ['S$\xa0370', 'S$\xa0414', 'S$\xa0435', 'S$\xa0400', 'S$\xa0447', 'S$\xa0471'], 'Deluxe Double Room': ['S$\xa0305', 'S$\xa0341', 'S$\xa0359']}","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/188227532.jpg?k=7c7779f5f1b5ba89c76448806ec51345e9e4668892c68cfc33de857f681862b7&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max500/232950076.jpg?k=1d2661dc416894784c4ad0a1450ef32bd0ca731b0ad0da2f7b036a5c573bc9dc&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max500/90375536.jpg?k=b9f6ce5e3320058221d1f0102ded40c860494279c682ce878a96ee2cfae4062b&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/65773167.jpg?k=a94f03c4a7ff8e429aadc9f0395aee6b1070e2fc097cc784341b47b000713e2d&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/265728015.jpg?k=efc7d73e9a74571794eaa74a113f574a926b78764a2dba8569185c54be2e7927&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/265727792.jpg?k=a702549848a4b1408e141c24799834ed2483637d8b2696d8a2747cd76f9dae60&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/90377181.jpg?k=6e3ca2e69b7529575f2efb0fab8d25c3e0efc2a713f2513b5db7eb8039b5d567&o=&hp=1']","{'Superior Double or Twin Room': ['285', '319', '335'], 'Club Room': ['370', '414', '435', '400', '447', '471'], 'Deluxe Double Room': ['305', '341', '359']}",331.0,364.5,419.25
