hotel_id,hotel_name
village-at-sentosa,Village Hotel Sentosa by Far East Hospitality
the-outpost,The Outpost Hotel Sentosa by Far East Hospitality
carlton,Carlton Hotel Singapore
amoy-by-far-east-hospitality,AMOY by Far East Hospitality
panpacificsingapore,Pan Pacific Singapore
holiday-inn-express-singapore-clarke-quay,"Holiday Inn Express Singapore Clarke Quay, an IHG Hotel"
m-singapore,M Hotel Singapore City Centre
copthorne-king-s,Copthorne King's Hotel Singapore on Havelock
the-elizabeth,Vibe Hotel Singapore Orchard
oasia-downtown-singapore,"Oasia Hotel Downtown, Singapore by Far East Hospitality"
fragrance-bugis,Ibis Budget Singapore Bugis
grand-copthorne-waterfront,Grand Copthorne Waterfront
the-seacare,The Seacare Hotel
golden-landmark,Village Hotel Bugis by Far East Hospitality
crowne-plaza-changi-airport,"Crowne Plaza Changi Airport, an IHG Hotel"
clifden-hostel,7 Wonders Hostel at Upper Dickson
holiday-inn-express-singapore-serangoon,"Holiday Inn Express Singapore Serangoon, an IHG Hotel"
atlantis-531,Atlantis@531
park-regis-singapore,Park Regis Singapore
holiday-inn-park-view,"Holiday Inn Singapore Orchard City Centre, an IHG Hotel"
royal-plaza-on-scotts,Royal Plaza on Scotts
albert-court,Village Hotel Albert Court by Far East Hospitality
aerotel-singapore,"Aerotel Transit Hotel, Terminal 1 Airside"
royal-queens,Hotel Royal at Queens
four-points-by-sheraton-singapore-riverview,"Four Points by Sheraton Singapore, Riverview"
the-east-village,Village Hotel Katong by Far East Hospitality
intercontinental-singapore-robertson-quay-singapore,"InterContinental Singapore Robertson Quay, an IHG Hotel"
changi-village-a-far-east,Village Hotel Changi by Far East Hospitality
wink-hostel,Wink Capsule Hostel at Chinatown
parc-sovereign,ibis Styles Singapore Albert
holiday-inn-singapore-little-india,"Holiday Inn Singapore Little India, an IHG Hotel"
fragrance-riverside,Ibis Budget Singapore Clarke Quay
orchard-parade,Orchard Rendezvous Hotel by Far East Hospitality
naumi,Naumi Hotel
holiday-inn-express-singapore-orchard-road,"Holiday Inn Express Singapore Orchard Road, an IHG Hotel"
holiday-inn-atrium,"Holiday Inn Singapore Atrium, an IHG Hotel"
kinn-singapore,KINN Capsule Hotel
fragrance,Ibis Budget Singapore Joo Chiat
grandmercureroxy,Grand Mercure Singapore Roxy
fairmont-singapore,Fairmont Singapore
galaxy-pods-chinatown,Galaxy Pods @ Chinatown
yotelair-singapore-changi-airport,YOTELAIR Singapore Changi Airport Landside
peninsula-excelsior,Peninsula Excelsior Hotel
oasia-singapore,"Oasia Hotel Novena, Singapore by Far East Hospitality"
voco-orchard-singapore,voco Orchard Singapore
quincy,Quincy Hotel Singapore by Far East Hospitality
yotel-singapore-orchard-road,YOTEL Singapore Orchard Road
all-days-inn-checkers-inn,Campbell Inn
ibis-singapore-on-bencoolen,Ibis Singapore on Bencoolen
the-clan-singapore,The Clan Hotel Singapore by Far East Hospitality
andaz-singapore,Andaz Singapore A Concept by Hyatt
indigo-singapore-katong,"Hotel Indigo Singapore Katong, an IHG Hotel"
jw-marriott-hotel-singapore-south-beach,JW Marriott Hotel Singapore South Beach
dao-by-dorsett-amtd-singapore,Dao by Dorsett AMTD Singapore
conrad-centennial-singapore,Conrad Centennial Singapore
studio-m,Studio M Hotel
mercure-singapore-bugis,Mercure Singapore Bugis
mercure-singapore-on-stevens,Mercure Singapore On Stevens
four-season-singapore,Four Seasons Hotel Singapore
the-westin-singapore,The Westin Singapore
intercontinental-singapore,"InterContinental Singapore, an IHG Hotel"
swissotelsingapore,Swissotel The Stamford
ibis-styles-singapore-on-macpherson,Ibis Styles Singapore On Macpherson
oxford,Oxford Hotel
grand-central,Hotel Grand Central
7-wonders-cabsule-hostel,7 Wonders Boutique Capsule
boss,Hotel Boss
courtyard-by-marriott-singapore-novena-singapore12,Courtyard by Marriott Singapore Novena
sofitel-singapore-city-centre,Sofitel Singapore City Centre
mi,Hotel Mi
pearl,Ibis Budget Singapore Pearl
parc-sovereign-tyrwhitt,Parc Sovereign Hotel - Tyrwhitt
amara-singapore,Amara Singapore
singapore-marriott,Singapore Marriott Tang Plaza Hotel
riverside-hotel-robertson-quay,Riverside Hotel Robertson Quay managed by The Ascott Limited
ibis-singapore-novena,Ibis Singapore Novena
the-st-regis-singapore,The St Regis Singapore
capri-by-fraser,"Capri by Fraser Changi City, Singapore"
big,Hotel G Singapore
w-singapore-sentosa-cove,W Singapore - Sentosa Cove
marinamandarin,"PARKROYAL COLLECTION Marina Bay, Singapore"
the-pod-boutique-capsule,The Pod at Beach Road Boutique Capsule Hotel
chinatown,Hotel Soloha at Chinatown
grand-plaza-park-city-hall,Grand Park City Hall
v-bencoolen,V Hotel Bencoolen
dorsett-singapore,Dorsett Singapore
park-avenue-rochester,Park Avenue Rochester
the-scarlet,The Scarlet Singapore
the-fullerton-singapore,The Fullerton Hotel Singapore
1929,Hotel 1929
circular-house-singapore,Circular House
parkroyal-on-beach-road,"PARKROYAL on Beach Road, Singapore"
marina-bay-sands,Marina Bay Sands
capri-by-fraser-china-square-singapore,"Capri by Fraser China Square, Singapore"
the-ritz-carlton-millenia-singapore,"The Ritz-Carlton, Millenia Singapore"
