hotel_id,title,positive_des,negative_des,rating,user_country,type_of_travel,username,date,no_of_nights,room_type
hilton-singapore-orchard,Exceptional,"Overall enjoyed my stay, convenient location and new rooms. Location was excellent.",The pool area was in the face of the main walkways and restaurants. One way street for pick up location so more often than not it is congested.,10.0,Australia,Solo traveller,Li,May 2022,,Premium King Room with City View
hilton-singapore-orchard,"It was a short getaway with family, and everything was excellent and made our stay totally worth it.",The room was spacious and comfortable. The facilities were very good and accessible. The f&b options were also great and the meals were delicious.,,9.0,Singapore,Family,Gayathri,September 2022,,King Corner Suite
hilton-singapore-orchard,"excellent location , great rooms and very happy and attentive staff, we will again visit",great location and the staff very attentive,,9.0,Singapore,Couple,Steven,August 2022,,Deluxe King Room
hilton-singapore-orchard,"The hotel was near everything (shopping, restaurants) and when it gets too hit Or you get tired, you just Go back to you",Location,,9.0,Philippines,Couple,Cef,September 2022,,Deluxe King Room
hilton-singapore-orchard,wouldn’t recommend to foreign visitors for a short stay as the layout is too confusing.,"visually appealing room. 
staff were very helpful and accommodating regarding my needs. 
staff extremely polite, friendly and helpful.","bed was too firm. 
found the layout of the hotel and lifts are hard to follow and confusing. 
adjoining arcade not if a high enough standard to warrant 
breakfast while pleasant very overpriced.",7.0,Australia,Solo traveller,David,August 2022,,Premium King Room
hilton-singapore-orchard,Homey and comfortable. 🤍,The room is spacious. Love the breakfast. ☕️ 🥐,Please ask permission if can touch my baby’s hands. 🫢,9.0,Brunei Darussalam,Family,Marycris,August 2022,,King Corner Suite
hilton-singapore-orchard,Was a great stay!,"Location was great, close to shops. Gym has alot of training equipment.",Pool too small.,8.0,Singapore,Group,Arnette,July 2022,,Premium King Room with City View
hilton-singapore-orchard,Very good,,"The pillow
It's too soft and plate making uncomfortable and headache after waking up.",8.0,Cambodia,Couple,Sokunneary,August 2022,,Premium King Room with City View
hilton-singapore-orchard,Very good,"Good clean rooms, comfortable.",Very limited room service night menu. Was a bit of a problem.,8.0,India,Family,Siddhika,July 2022,,Premium Twin Room
hilton-singapore-orchard,decent and manageable,"location, food, concierge","Ill designed shower chamber that is destined to get the bathroom wet by leaking, inadequate response to this problem",7.0,India,Family,Abhik,July 2022,,Premium King Room
hilton-singapore-orchard,I like it but the price it’s high for small room,very good location,"The Tv to much close to the bed in a room ,and you can’t see the enter door hotel",8.0,Qatar,Family,Abdulrahman,July 2022,,Premium King Room with City View
hilton-singapore-orchard,Superb,location,there was a drill noise at 10 pm on my floor & I couldn’t  find the safety box in the room,9.0,Indonesia,Solo traveller,Dina,July 2022,,Premium King Room with City View
hilton-singapore-orchard,Superb,Location. The hotel been recently refurbished  rooms are up to date and tastefully decorated. It certainly has been spruced up. Good use of public spaces.,,9.0,Malaysia,Couple,Amir,June 2022,,Deluxe King Room
hilton-singapore-orchard,"excellent, would stay again in the future","Central location, clean and higj quality of service",room size is relatively small,9.0,Indonesia,Family,Mila,June 2022,,Premium Twin Room
hilton-singapore-orchard,Wonderful stay after the Covid storm.,The newly renovated room was great.,An in-room safe would be nice.,9.0,Indonesia,Couple,Stephen,June 2022,,Premium King Room
hilton-singapore-orchard,Very good,The breakfast spread was very good. Bathroom facilities and rooms were clean,,8.0,Singapore,Family,Xin,June 2022,,Premium Twin Room with City View
